# Force coefficients
# liftDir    : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir    : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf    : 2.600300e+01
# lRef       : 1.000000e+00
# Aref       : 1.000000e+00
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
1            	5.150718e+00	-9.774794e-01	9.015692e+00	9.658564e+00	-6.428720e-01
2            	4.147680e+00	-7.812457e-01	7.382183e+00	7.838771e+00	-4.565881e-01
3            	-1.149715e-01	4.576008e-03	1.737471e-01	-2.809790e-02	2.018450e-01
4            	-2.471207e+00	4.744764e-01	-3.856680e+00	-4.399547e+00	5.428667e-01
5            	-2.083311e+00	4.400674e-01	-3.279977e+00	-3.723300e+00	4.433226e-01
6            	5.006291e-02	8.156048e-02	1.707295e-01	1.354276e-01	3.530182e-02
7            	1.623631e+00	-2.094706e-01	2.781683e+00	3.014473e+00	-2.327894e-01
8            	1.577988e+00	-2.372892e-01	2.800556e+00	2.978266e+00	-1.777100e-01
9            	5.773866e-01	-8.245188e-02	1.293158e+00	1.223965e+00	6.919219e-02
10           	-3.473925e-01	9.041704e-02	-1.341336e-01	-4.144593e-01	2.803257e-01
11           	-4.726292e-01	1.507629e-01	-3.477456e-01	-6.465020e-01	2.987564e-01
12           	-2.919774e-02	1.074658e-01	3.036835e-01	1.226440e-01	1.810395e-01
13           	4.933305e-01	2.650852e-02	1.077873e+00	1.032267e+00	4.560585e-02
14           	6.728416e-01	-2.168608e-02	1.354867e+00	1.350275e+00	4.591946e-03
15           	5.133865e-01	-1.692678e-02	1.144021e+00	1.085397e+00	5.862378e-02
16           	2.601072e-01	1.816844e-02	8.144992e-01	6.673568e-01	1.471424e-01
17           	1.394227e-01	5.142500e-02	6.764528e-01	4.776491e-01	1.988037e-01
18           	1.832289e-01	6.660576e-02	7.561714e-01	5.613146e-01	1.948567e-01
19           	2.892511e-01	6.612380e-02	9.001166e-01	7.393095e-01	1.608072e-01
20           	3.579571e-01	5.844057e-02	9.751669e-01	8.455406e-01	1.296264e-01
21           	3.547996e-01	5.167168e-02	9.562729e-01	8.329360e-01	1.233369e-01
22           	3.194723e-01	4.864912e-02	9.126891e-01	7.758169e-01	1.368722e-01
23           	2.959501e-01	4.953715e-02	9.058132e-01	7.488567e-01	1.569565e-01
24           	3.012298e-01	5.346403e-02	9.425103e-01	7.724849e-01	1.700254e-01
25           	3.156812e-01	5.956495e-02	9.784044e-01	8.048833e-01	1.735210e-01
26           	3.188771e-01	6.653899e-02	9.800105e-01	8.088823e-01	1.711282e-01
27           	3.086930e-01	7.146203e-02	9.513050e-01	7.843455e-01	1.669595e-01
28           	2.966784e-01	7.267391e-02	9.225531e-01	7.579550e-01	1.645981e-01
29           	2.953856e-01	7.060364e-02	9.190456e-01	7.549084e-01	1.641372e-01
