# Force coefficients
# liftDir    : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir    : (-1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf    : 4.000000e+01
# lRef       : 1.000000e+00
# Aref       : 1.000000e+00
# CofR       : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
1            	2.197500e+01	-4.200631e+00	8.378762e+01	6.386881e+01	1.991881e+01
2            	1.475869e+01	-2.583828e+00	5.748530e+01	4.350134e+01	1.398396e+01
3            	-3.128147e+00	8.424745e-01	-8.927960e+00	-7.592127e+00	-1.335833e+00
4            	-1.151824e+01	2.439901e+00	-4.006716e+01	-3.155182e+01	-8.515340e+00
5            	-8.642763e+00	1.902317e+00	-2.990808e+01	-2.359680e+01	-6.311274e+00
6            	1.093331e+00	1.378202e-01	4.482013e+00	3.334338e+00	1.147675e+00
7            	7.151766e+00	-9.851392e-01	2.585903e+01	2.008128e+01	5.777751e+00
8            	5.743560e+00	-7.050841e-01	2.122605e+01	1.635659e+01	4.869465e+00
9            	3.600588e-01	3.627646e-01	3.118340e+00	1.919229e+00	1.199111e+00
10           	-3.474277e+00	1.144946e+00	-9.698904e+00	-8.323729e+00	-1.375175e+00
11           	-3.083644e+00	1.132573e+00	-8.418548e+00	-7.292918e+00	-1.125630e+00
12           	-3.291679e-01	6.317039e-01	4.207904e-01	-1.187727e-01	5.395631e-01
13           	2.082276e+00	1.572543e-01	8.059450e+00	6.112001e+00	1.947449e+00
14           	2.182199e+00	1.177028e-01	8.380972e+00	6.372685e+00	2.008287e+00
15           	9.019327e-01	3.738876e-01	4.494605e+00	3.149235e+00	1.345370e+00
16           	-4.219519e-01	7.396509e-01	5.421550e-01	-1.508743e-01	6.930294e-01
17           	-8.002122e-01	8.609728e-01	-6.134826e-01	-1.106954e+00	4.934709e-01
18           	-2.993436e-01	7.708715e-01	7.712035e-01	8.625813e-02	6.849453e-01
19           	4.474648e-01	5.953741e-01	2.765584e+00	1.830257e+00	9.353271e-01
20           	7.928303e-01	4.912495e-01	3.658957e+00	2.622309e+00	1.036648e+00
21           	6.316899e-01	5.045299e-01	3.210822e+00	2.237101e+00	9.737213e-01
22           	3.057427e-01	5.698384e-01	2.366827e+00	1.489156e+00	8.776710e-01
23           	9.331020e-02	6.218452e-01	1.807346e+00	9.969834e-01	8.103630e-01
24           	1.273151e-01	6.196407e-01	1.860815e+00	1.057723e+00	8.030925e-01
25           	2.445974e-01	5.858233e-01	2.077357e+00	1.283276e+00	7.940811e-01
26           	3.398137e-01	5.414429e-01	2.211950e+00	1.445789e+00	7.661611e-01
27           	3.705391e-01	5.020137e-01	2.198468e+00	1.469773e+00	7.286951e-01
28           	3.568164e-01	4.733112e-01	2.126624e+00	1.420128e+00	7.064954e-01
29           	3.437221e-01	4.528750e-01	2.113451e+00	1.400448e+00	7.130036e-01
30           	3.540617e-01	4.349462e-01	2.183083e+00	1.445603e+00	7.374798e-01
